2024-02-08 14:30:05,009 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:30:05,011 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:30:33,248 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:30:33,252 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2024-02-08 14:30:33,253 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2024-02-08 14:30:36,854 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:30:36,855 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:30:36,860 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:30:40,254 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:30:41,850 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:30:41,854 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:30:41,855 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:30:41,934 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:30:41,940 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:34:00,764 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-02-08 14:34:00,764 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-02-08 14:34:00,769 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:89:F0:6B:06:4B
2024-02-08 14:34:03,713 | MainThread   | [INFO    ] | _connect            |: Connected to C0:89:F0:6B:06:4B
2024-02-08 14:34:04,856 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2024-02-08 14:34:04,857 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 747696FD-B715-05CB-947A-0D181A9C2566
2024-02-08 14:34:04,858 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2024-02-08 14:34:04,915 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2024-02-08 14:34:04,921 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2024-02-08 14:35:26,196 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
